,dates,times,orders,prices,staff
0,01-07-2021,10:48,"['Cappucino', 'Pour-over special']","[70, 200]",Penguin
1,01-07-2021,10:50,"['Pour-over special', 'Pour-over special']","[200, 200]",Penguin
2,01-07-2021,11:15,"['Americano', 'Latte']","[50, 70]",Penguin
3,01-07-2021,11:38,"['Espresso shot', 'Latte']","[30, 70]",Penguin
4,01-07-2021,11:54,['Mocha'],[75],Penguin
5,01-07-2021,12:37,['Flat white'],[70],Penguin
6,01-07-2021,12:50,"['Pour-over normal', 'Pour-over special']","[100, 200]",Penguin
7,01-07-2021,13:35,['Pour-over special'],[200],Penguin
8,01-07-2021,13:49,"['Latte', 'Coffee beans 200']","[70, 400]",Penguin
9,01-07-2021,14:01,"['Flat white', 'Latte']","[70, 70]",Penguin
10,01-07-2021,14:57,"['Pour-over normal', 'Pour-over normal']","[100, 100]",Penguin
11,01-07-2021,15:47,['Coffee beans 200'],[400],Penguin
12,01-07-2021,16:19,"['Espresso shot', 'Espresso shot', 'Macchiato', 'Latte']","[30, 30, 75, 70]",Penguin
13,01-07-2021,7:38,['Flat white'],[70],Penguin
14,01-07-2021,9:05,"['Pour-over normal', 'Pour-over normal']","[100, 100]",Penguin
15,01-07-2021,9:27,"['Pour-over special', 'Flat white']","[200, 70]",Penguin
16,01-07-2021,9:56,['Coffee beans 200'],[400],Penguin
17,02-07-2021,10:57,"['Coffee beans special 200', 'Coffee beans special 200', 'Americano', 'Pour-over normal', 'Espresso shot']","[600, 600, 50, 100, 30]",Rambo
18,02-07-2021,11:25,"['Flat white', 'Cappucino', 'Pour-over special']","[70, 70, 200]",Rambo
19,02-07-2021,12:09,"['Americano', 'Americano', 'Pour-over normal', 'Pour-over normal']","[50, 50, 100, 100]",Rambo
20,02-07-2021,12:57,['Espresso shot'],[30],Rambo
21,02-07-2021,13:12,['Coffee beans 200'],[400],Rambo
22,02-07-2021,13:28,['Flat white'],[70],Rambo
23,02-07-2021,13:31,"['Cappucino', 'Cappucino']","[70, 70]",Rambo
24,02-07-2021,13:36,['Pour-over normal'],[100],Rambo
25,02-07-2021,14:15,['Pour-over special'],[200],Rambo
